address;is_alarm;floor_count_max;floor_count_min;entrance_count;quarters_count;living_quarters_count;unliving_quarters_count;area_total;area_residential;area_non_residential;area_common_property;area_land;basement_area
обл. Оренбургская, г. Оренбург, ул. 1 Мая, д. 61 Лит АА13;Нет;1;;;2;;;63;37,74;;;;
обл. Оренбургская, г. Оренбург, ул. 8 Марта, д. 43, стр. литер ДД1;Нет;1;;;1;;;46,4;46,4;0;;;0
обл. Оренбургская, г. Оренбург, ул. 9 Января, д. 16, стр. литер ВВ1;Нет;1;1;1;1;1;0;31,9;31,9;0;0;1423;0
обл. Оренбургская, г. Оренбург, ул. 9 Января, д. 46, стр. литер ДА3;Нет;1;1;1;1;1;0;81,9;39,6;0;43,2;1306;43,2
"обл. Оренбургская, г. Оренбург, ул. Абдрашитова, д. 236, к. А""";Нет;2;2;2;12;12;0;924,41;853,8;0;75;1315;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 4;Нет;1;1;0;4;4;0;115,8;115,8;0;0;4332;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 5;Нет;1;1;0;4;4;0;129,1;129,1;0;0;601;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 5, к. 1;Нет;1;1;0;2;2;0;140,4;140,4;0;0;2138;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 7, к. А;Нет;1;1;0;3;3;0;121,5;121,5;0;0;130;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 8;Нет;1;1;0;3;3;0;142,8;142,8;0;0;693;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 11;Нет;1;1;1;1;1;0;54,7;54,7;;0;400;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 11, стр. литер А;Нет;1;1;0;1;1;0;54,7;54,7;0;0;400;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 14;Нет;1;1;0;4;4;0;108,5;108,5;0;0;1056;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 15;Нет;1;1;0;4;4;0;101,6;101,6;0;0;823;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 16;Нет;1;1;0;4;4;0;121,6;121,6;0;0;1119;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 17;Нет;1;1;0;4;4;0;106,5;106,5;0;0;1049;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 18;Нет;1;;;1;;;53,8;37,6;16,2;;529;
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 18, стр. литер А;Нет;1;1;0;1;1;0;53,7;53,7;0;0;529;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 20;Нет;1;1;1;1;1;0;54;54;0;0;464;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 20, стр. литер А;Нет;1;1;0;1;1;0;54;54;0;0;412;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 22;Нет;1;;;1;;;54,9;39,3;15,6;;499;
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 22, стр. литер А;Нет;1;1;0;1;1;0;54,5;54,5;0;0;499,2;0
обл. Оренбургская, г. Оренбург, ул. Авиагородок 2, д. 24;Нет;1;1;0;4;4;0;118;118;0;0;1160;0
обл. Оренбургская, г. Оренбург, ул. Акулова, д. 97, стр. Б;Нет;1;;1;2;;;124,2;68,9;0;;;0
